
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   43611    9.9880433e-01   0.000000e+00   3.102585e+02    812s
   43751    9.9881231e-01   0.000000e+00   3.170503e+02    815s
   44031    9.9882758e-01   0.000000e+00   5.306340e+01    822s
   44161    9.9883211e-01   0.000000e+00   9.229096e+01    826s
   44441    9.9884336e-01   0.000000e+00   8.119962e+02    832s
   44581    9.9885084e-01   0.000000e+00   9.013888e+02    835s
   44861    9.9886681e-01   0.000000e+00   3.490143e+02    842s
   45131    9.9888073e-01   0.000000e+00   1.639365e+02    848s
   45271    9.9888916e-01   0.000000e+00   5.986915e+02    851s
   45531    9.9890674e-01   0.000000e+00   4.453726e+02    858s
   45671    9.9891590e-01   0.000000e+00   8.111169e+02    862s
   45951    9.9893387e-01   0.000000e+00   2.748937e+03    868s
   46091    9.9894113e-01   0.000000e+00   2.265945e+02    871s
   46371    9.9895500e-01   0.000000e+00   7.875391e+01    878s
   46511    9.9896190e-01   0.000000e+00   7.577557e+02    881s
   46791    9.9897422e-01   0.000000e+00   1.977409e+02    888s
   46931    9.9898198e-01   0.000000e+00   3.429351e+02    891s
   47211    9.9899763e-01   0.000000e+00   1.733729e+02    898s
   47351    9.9900446e-01   0.000000e+00   3.084014e+02    901s
   47631    9.9901483e-01   0.000000e+00   1.083382e+02    907s
   47771    9.9901960e-01   0.000000e+00   3.278324e+02    911s
   48041    9.9902903e-01   0.000000e+00   3.621643e+02    918s
   48181    9.9903335e-01   0.000000e+00   1.454627e+02    922s
   48461    9.9904365e-01   0.000000e+00   2.929498e+02    928s
   48601    9.9904808e-01   0.000000e+00   1.697672e+03    931s
   48881    9.9905675e-01   0.000000e+00   2.349394e+03    938s
   49021    9.9906281e-01   0.000000e+00   2.810486e+02    941s
   49301    9.9907089e-01   0.000000e+00   1.875422e+02    948s
   49441    9.9907574e-01   0.000000e+00   1.434094e+03    951s
   49711    9.9908347e-01   0.000000e+00   1.346528e+03    957s
   49851    9.9908674e-01   0.000000e+00   5.587036e+02    961s
   50131    9.9909414e-01   0.000000e+00   1.467422e+02    967s
   50271    9.9909772e-01   0.000000e+00   2.362881e+02    970s
   50551    9.9910695e-01   0.000000e+00   7.005616e+02    978s
   50691    9.9911142e-01   0.000000e+00   3.360383e+02    981s
   50971    9.9911911e-01   0.000000e+00   1.577201e+02    988s
   51111    9.9912332e-01   0.000000e+00   6.293709e+02    991s
   51391    9.9913137e-01   0.000000e+00   2.196526e+02    998s
   51531    9.9913556e-01   0.000000e+00   1.515433e+02   1001s
   51811    9.9914361e-01   0.000000e+00   5.059178e+02   1008s
   51941    9.9914583e-01   0.000000e+00   3.031583e+02   1011s
   52211    9.9915131e-01   0.000000e+00   2.458668e+02   1018s
   52341    9.9915418e-01   0.000000e+00   9.737263e+01   1021s
   52621    9.9915933e-01   0.000000e+00   1.104296e+02   1028s
   52751    9.9916139e-01   0.000000e+00   1.183941e+02   1031s
   53011    9.9916599e-01   0.000000e+00   3.598744e+02   1039s
   53141    9.9916860e-01   0.000000e+00   8.077098e+01   1042s
   53281    9.9917116e-01   0.000000e+00   1.154866e+02   1046s
   53521    9.9917688e-01   0.000000e+00   1.261234e+02   1052s
   53641    9.9917927e-01   0.000000e+00   2.805238e+02   1055s
   53901    9.9918504e-01   0.000000e+00   3.272884e+02   1062s
   54021    9.9918793e-01   0.000000e+00   1.858318e+02   1065s
   54281    9.9919468e-01   0.000000e+00   1.517161e+02   1072s
   54421    9.9919851e-01   0.000000e+00   5.943768e+01   1075s
   54691    9.9920548e-01   0.000000e+00   1.019930e+03   1082s
   54811    9.9920875e-01   0.000000e+00   7.207838e+02   1086s
   55071    9.9921400e-01   0.000000e+00   1.038956e+03   1093s
   55201    9.9921680e-01   0.000000e+00   9.353967e+01   1096s
   55321    9.9921895e-01   0.000000e+00   1.027716e+02   1100s
   55561    9.9922314e-01   0.000000e+00   2.815092e+02   1107s
   55801    9.9922738e-01   0.000000e+00   2.421125e+02   1113s
   55921    9.9922922e-01   0.000000e+00   4.120886e+02   1116s
   56161    9.9923284e-01   0.000000e+00   6.004394e+01   1123s
   56281    9.9923422e-01   0.000000e+00   1.093152e+02   1127s
   56531    9.9923779e-01   0.000000e+00   3.614360e+01   1133s
   56651    9.9923990e-01   0.000000e+00   6.298251e+01   1137s
   56771    9.9924203e-01   0.000000e+00   2.738085e+02   1140s
   57021    9.9924609e-01   0.000000e+00   2.998351e+02   1147s
   57151    9.9924798e-01   0.000000e+00   6.596478e+01   1151s
   57391    9.9925218e-01   0.000000e+00   1.471376e+02   1158s
   57521    9.9925449e-01   0.000000e+00   8.912301e+02   1162s
   57651    9.9925670e-01   0.000000e+00   6.784211e+01   1165s
   57911    9.9926008e-01   0.000000e+00   5.957647e+01   1172s
   58041    9.9926148e-01   0.000000e+00   1.142681e+02   1175s
   58291    9.9926490e-01   0.000000e+00   1.415510e+02   1182s
